"Freq [GHz]","h_rad [mm]","Phi [deg]","r_patch [mm]","Theta [deg]","dB(GainTotal) []"
4,21.5,0,2,-180,0.149859906066006
4,21.5,0,2,-178,0.158095249351443
4,21.5,0,2,-176,0.169528719108291
4,21.5,0,2,-174,0.184094783335154
4,21.5,0,2,-172,0.201654434945712
4,21.5,0,2,-170,0.22200573290309
4,21.5,0,2,-168,0.244897122645622
4,21.5,0,2,-166,0.27004259494261
4,21.5,0,2,-164,0.297137689808074
4,21.5,0,2,-162,0.325875352556681
4,21.5,0,2,-160,0.355960695219771
4,21.5,0,2,-158,0.387123803406243
4,21.5,0,2,-156,0.419129853915808
4,21.5,0,2,-154,0.451785971148086
4,21.5,0,2,-152,0.484944449401332
4,21.5,0,2,-150,0.518502199737685
4,21.5,0,2,-148,0.552396535832431
4,21.5,0,2,-146,0.586597678918111
4,21.5,0,2,-144,0.621098617557703
4,21.5,0,2,-142,0.655903179254371
4,21.5,0,2,-140,0.691013332388584
4,21.5,0,2,-138,0.726416816259565
4,21.5,0,2,-136,0.76207617918014
4,21.5,0,2,-134,0.797920185817603
4,21.5,0,2,-132,0.833838344331464
4,21.5,0,2,-130,0.869679022500737
4,21.5,0,2,-128,0.905251300109779
4,21.5,0,2,-126,0.940330376688856
4,21.5,0,2,-124,0.974666052498395
4,21.5,0,2,-122,1.00799355401962
4,21.5,0,2,-120,1.0400458023499
4,21.5,0,2,-118,1.07056613360916
4,21.5,0,2,-116,1.09932047585457
4,21.5,0,2,-114,1.12610806108449
4,21.5,0,2,-112,1.15076989245291
4,21.5,0,2,-110,1.17319438096339
4,21.5,0,2,-108,1.19331979546635
4,21.5,0,2,-106,1.21113341620677
4,21.5,0,2,-104,1.2266675265805
4,21.5,0,2,-102,1.23999260211184
4,21.5,0,2,-100,1.25120824415711
4,21.5,0,2,-98,1.26043254635334
4,21.5,0,2,-96,1.26779066713133
4,21.5,0,2,-94,1.27340340988391
4,21.5,0,2,-92,1.2773765868836
4,21.5,0,2,-90,1.27979187083021
4,21.5,0,2,-88,1.28069972791503
4,21.5,0,2,-86,1.28011488733743
4,21.5,0,2,-84,1.27801464158306
4,21.5,0,2,-82,1.27434009486947
4,21.5,0,2,-80,1.26900028840491
4,21.5,0,2,-78,1.26187893578787
4,21.5,0,2,-76,1.25284330827865
4,21.5,0,2,-74,1.24175463053275
4,21.5,0,2,-72,1.22847919995784
4,21.5,0,2,-70,1.21289934723536
4,21.5,0,2,-68,1.19492333135807
4,21.5,0,2,-66,1.17449332464871
4,21.5,0,2,-64,1.151590797475
4,21.5,0,2,-62,1.12623885227077
4,21.5,0,2,-60,1.09850136183569
4,21.5,0,2,-58,1.06847910498259
4,21.5,0,2,-56,1.03630342192371
4,21.5,0,2,-54,1.00212818813566
4,21.5,0,2,-52,0.9661210893647
4,21.5,0,2,-50,0.928455244604071
4,21.5,0,2,-48,0.889302158690285
4,21.5,0,2,-46,0.848826802030193
4,21.5,0,2,-44,0.807185340411121
4,21.5,0,2,-42,0.764525713711417
4,21.5,0,2,-40,0.720990933499928
4,21.5,0,2,-38,0.676724676329257
4,21.5,0,2,-36,0.631878521178275
4,21.5,0,2,-34,0.586620030938809
4,21.5,0,2,-32,0.541140810541759
4,21.5,0,2,-30,0.495663680000965
4,21.5,0,2,-28,0.450448166337548
4,21.5,0,2,-26,0.405793630973503
4,21.5,0,2,-24,0.362039498519179
4,21.5,0,2,-22,0.319562232229208
4,21.5,0,2,-20,0.278768906368754
4,21.5,0,2,-18,0.240087451840285
4,21.5,0,2,-16,0.20395389153988
4,21.5,0,2,-14,0.170797124370593
4,21.5,0,2,-12,0.14102204479135
4,21.5,0,2,-10,0.114991977093443
4,21.5,0,2,-8,0.0930115371982876
4,21.5,0,2,-6,0.0753110881163168
4,21.5,0,2,-4,0.0620339123191623
4,21.5,0,2,-2,0.0532270786089121
4,21.5,0,2,0,0.0488367383594714
4,21.5,0,2,2,0.0487082653367053
4,21.5,0,2,4,0.052591285794859
4,21.5,0,2,6,0.0601492706004909
4,21.5,0,2,8,0.0709730207273838
4,21.5,0,2,10,0.0845971095084453
4,21.5,0,2,12,0.100518177211635
4,21.5,0,2,14,0.118213918934021
4,21.5,0,2,16,0.137161662409007
4,21.5,0,2,18,0.156855580254762
4,21.5,0,2,20,0.17682179283051
4,21.5,0,2,22,0.196630859380688
4,21.5,0,2,24,0.215907393465502
4,21.5,0,2,26,0.234336746698213
4,21.5,0,2,28,0.251668865000741
4,21.5,0,2,30,0.267719527525798
4,21.5,0,2,32,0.282369234199969
4,21.5,0,2,34,0.295560025822088
4,21.5,0,2,36,0.307290517685822
4,21.5,0,2,38,0.31760942111123
4,21.5,0,2,40,0.326607830964875
4,21.5,0,2,42,0.334410578756384
4,21.5,0,2,44,0.341166989917642
4,21.5,0,2,46,0.347041432486233
4,21.5,0,2,48,0.352204088957071
4,21.5,0,2,50,0.356822407225544
4,21.5,0,2,52,0.361053675125233
4,21.5,0,2,54,0.365039105650692
4,21.5,0,2,56,0.368899713745326
4,21.5,0,2,58,0.372734116752399
4,21.5,0,2,60,0.376618214203461
4,21.5,0,2,62,0.380606520159912
4,21.5,0,2,64,0.384734757733762
4,21.5,0,2,66,0.38902320477771
4,21.5,0,2,68,0.393480221222855
4,21.5,0,2,70,0.398105403023486
4,21.5,0,2,72,0.40289189560687
4,21.5,0,2,74,0.407827550687762
4,21.5,0,2,76,0.412894804170668
4,21.5,0,2,78,0.418069362605885
4,21.5,0,2,80,0.423317981384041
4,21.5,0,2,82,0.428595771455227
4,21.5,0,2,84,0.43384356118103
4,21.5,0,2,86,0.438985854434895
4,21.5,0,2,88,0.443929865779998
4,21.5,0,2,90,0.448565990683949
4,21.5,0,2,92,0.45276990443018
4,21.5,0,2,94,0.456406303202647
4,21.5,0,2,96,0.459334129406047
4,21.5,0,2,98,0.461412979758376
4,21.5,0,2,100,0.462510289809584
4,21.5,0,2,102,0.462508824351063
4,21.5,0,2,104,0.461313975057768
4,21.5,0,2,106,0.458860366925
4,21.5,0,2,108,0.455117296684809
4,21.5,0,2,110,0.450092566150922
4,21.5,0,2,112,0.443834332790925
4,21.5,0,2,114,0.436430683795281
4,21.5,0,2,116,0.428006754308695
4,21.5,0,2,118,0.418719358288331
4,21.5,0,2,120,0.408749278630813
4,21.5,0,2,122,0.398291561012538
4,21.5,0,2,124,0.387544355202422
4,21.5,0,2,126,0.376697025418444
4,21.5,0,2,128,0.365918383664312
4,21.5,0,2,130,0.355345966447235
4,21.5,0,2,132,0.345077262620759
4,21.5,0,2,134,0.335163704458244
4,21.5,0,2,136,0.325608061114815
4,21.5,0,2,138,0.316365637052643
4,21.5,0,2,140,0.307349396989037
4,21.5,0,2,142,0.298438835662738
4,21.5,0,2,144,0.289492108391201
4,21.5,0,2,146,0.280360659954169
4,21.5,0,2,148,0.270905356684556
4,21.5,0,2,150,0.261012959786367
4,21.5,0,2,152,0.250611693711192
4,21.5,0,2,154,0.239684673957224
4,21.5,0,2,156,0.228280069263577
4,21.5,0,2,158,0.216517080950016
4,21.5,0,2,160,0.204587115093201
4,21.5,0,2,162,0.192749880378838
4,21.5,0,2,164,0.181324537133981
4,21.5,0,2,166,0.170676417022657
4,21.5,0,2,168,0.161200191605702
4,21.5,0,2,170,0.153300656351154
4,21.5,0,2,172,0.147372485463784
4,21.5,0,2,174,0.143780382769468
4,21.5,0,2,176,0.142840998708012
4,21.5,0,2,178,0.144807811724235
4,21.5,0,2,180,0.149859906066006
